CMDLINE python3 async/client.py
MEM 0.171875 1729534997.9027
MEM 31.390625 1729534998.0078
MEM 36.484375 1729534998.1130
MEM 36.546875 1729534998.2149
MEM 36.718750 1729534998.3182
MEM 36.750000 1729534998.4233
MEM 36.750000 1729534998.5279
MEM 36.937500 1729534998.6331
MEM 36.937500 1729534998.7382
MEM 36.953125 1729534998.8421
MEM 36.968750 1729534998.9437
MEM 36.968750 1729534999.0488
MEM 36.968750 1729534999.1524
MEM 36.796875 1729534999.2551
MEM 36.796875 1729534999.3602
MEM 36.812500 1729534999.4654
MEM 36.812500 1729534999.5690
MEM 30.515625 1729534999.6698
MEM 27.500000 1729534999.7747
MEM 27.984375 1729534999.8757
MEM 28.031250 1729534999.9859
MEM 28.031250 1729535000.0867
MEM 28.046875 1729535000.1919
MEM 28.046875 1729535000.2956
MEM 28.046875 1729535000.3979
MEM 28.046875 1729535000.5031
MEM 28.046875 1729535000.6082
MEM 28.046875 1729535000.7113
MEM 28.078125 1729535000.8164
MEM 28.078125 1729535000.9215
MEM 28.078125 1729535001.0266
MEM 28.078125 1729535001.1322
MEM 28.109375 1729535001.2360
MEM 28.109375 1729535001.3412
MEM 28.109375 1729535001.4463
MEM 28.093750 1729535001.5515
MEM 28.109375 1729535001.6566
MEM 28.109375 1729535001.7617
MEM 28.140625 1729535001.8643
MEM 28.140625 1729535001.9646
MEM 28.140625 1729535002.0697
MEM 28.093750 1729535002.1743
MEM 28.093750 1729535002.2794
MEM 28.046875 1729535002.3872
MEM 28.062500 1729535002.4924
MEM 28.062500 1729535002.5940
MEM 28.062500 1729535002.6992
MEM 28.062500 1729535002.8038
MEM 28.062500 1729535002.9041
MEM 28.062500 1729535003.0066
MEM 28.062500 1729535003.1117
MEM 28.062500 1729535003.2169
MEM 28.062500 1729535003.3220
MEM 28.062500 1729535003.4265
MEM 28.062500 1729535003.5316
MEM 28.062500 1729535003.6328
MEM 28.062500 1729535003.7380
MEM 28.062500 1729535003.8427
MEM 28.093750 1729535003.9478
MEM 28.109375 1729535004.0499
MEM 28.109375 1729535004.1543
MEM 28.109375 1729535004.2594
MEM 28.031250 1729535004.3602
MEM 28.046875 1729535004.4641
MEM 28.031250 1729535004.5685
MEM 28.031250 1729535004.6736
MEM 28.031250 1729535004.7788
MEM 28.031250 1729535004.8793
MEM 28.031250 1729535004.9838
MEM 28.031250 1729535005.0877
MEM 28.046875 1729535005.1928
MEM 28.921875 1729535005.2980
MEM 28.921875 1729535005.3998
MEM 28.953125 1729535005.5023
MEM 28.953125 1729535005.6074
MEM 28.953125 1729535005.7094
MEM 28.437500 1729535005.8108
MEM 28.437500 1729535005.9159
MEM 28.437500 1729535006.0197
MEM 28.437500 1729535006.1199
MEM 28.437500 1729535006.2250
MEM 28.015625 1729535006.3302
MEM 27.140625 1729535006.4353
MEM 27.125000 1729535006.5405
MEM 27.125000 1729535006.6415
MEM 27.125000 1729535006.7439
MEM 27.125000 1729535006.8490
MEM 27.125000 1729535006.9542
MEM 27.125000 1729535007.0585
MEM 27.125000 1729535007.1631
MEM 27.125000 1729535007.2682
MEM 27.140625 1729535007.3733
MEM 27.140625 1729535007.4778
MEM 27.125000 1729535007.5795
MEM 27.140625 1729535007.6843
MEM 27.156250 1729535007.7853
MEM 27.171875 1729535007.8904
MEM 27.171875 1729535007.9916
MEM 27.187500 1729535008.0968
MEM 27.187500 1729535008.1993
MEM 27.187500 1729535008.3014
MEM 27.187500 1729535008.4065
MEM 27.187500 1729535008.5117
MEM 27.156250 1729535008.6168
MEM 27.156250 1729535008.7216
MEM 27.156250 1729535008.8265
MEM 27.156250 1729535008.9300
MEM 27.156250 1729535009.0348
MEM 27.156250 1729535009.1399
MEM 27.156250 1729535009.2401
MEM 27.203125 1729535009.3452
MEM 27.218750 1729535009.4503
MEM 27.250000 1729535009.5555
MEM 27.250000 1729535009.6606
MEM 27.250000 1729535009.7657
MEM 27.250000 1729535009.8709
MEM 27.250000 1729535009.9743
MEM 27.265625 1729535010.0794
MEM 27.265625 1729535010.1845
MEM 27.265625 1729535010.2874
MEM 27.265625 1729535010.3925
MEM 27.265625 1729535010.4946
MEM 27.281250 1729535010.5948
MEM 27.265625 1729535010.6999
MEM 27.265625 1729535010.8050
MEM 27.265625 1729535010.9101
MEM 27.265625 1729535011.0110
MEM 27.265625 1729535011.1153
MEM 27.265625 1729535011.2204
MEM 27.265625 1729535011.3256
MEM 27.265625 1729535011.4290
MEM 27.265625 1729535011.5299
MEM 27.265625 1729535011.6350
MEM 27.265625 1729535011.7401
MEM 27.265625 1729535011.8409
MEM 27.265625 1729535011.9425
MEM 27.265625 1729535012.0477
MEM 27.265625 1729535012.1528
MEM 27.265625 1729535012.2558
MEM 27.265625 1729535012.3609
MEM 27.265625 1729535012.4660
MEM 27.265625 1729535012.5683
MEM 27.265625 1729535012.6705
MEM 27.281250 1729535012.7745
MEM 27.281250 1729535012.8796
MEM 27.281250 1729535012.9843
MEM 27.281250 1729535013.0894
MEM 27.281250 1729535013.1946
MEM 27.281250 1729535013.2997
MEM 27.281250 1729535013.4048
MEM 27.281250 1729535013.5099
MEM 27.281250 1729535013.6126
MEM 27.281250 1729535013.7152
MEM 27.281250 1729535013.8205
MEM 27.296875 1729535013.9257
MEM 27.296875 1729535014.0308
MEM 27.296875 1729535014.1354
MEM 27.296875 1729535014.2406
MEM 27.296875 1729535014.3456
MEM 27.296875 1729535014.4508
MEM 27.296875 1729535014.5559
MEM 27.296875 1729535014.6610
MEM 27.296875 1729535014.7662
MEM 27.296875 1729535014.8688
MEM 27.296875 1729535014.9721
MEM 27.296875 1729535015.0747
MEM 27.296875 1729535015.1794
MEM 27.296875 1729535015.2831
MEM 27.312500 1729535015.3882
MEM 27.328125 1729535015.4934
MEM 27.328125 1729535015.5981
MEM 27.328125 1729535015.7028
MEM 27.328125 1729535015.8079
MEM 27.328125 1729535015.9130
MEM 27.328125 1729535016.0181
MEM 27.328125 1729535016.1232
MEM 27.328125 1729535016.2269
MEM 27.328125 1729535016.3319
MEM 27.328125 1729535016.4370
MEM 27.328125 1729535016.5419
MEM 27.343750 1729535016.6468
MEM 27.359375 1729535016.7499
MEM 27.359375 1729535016.8519
MEM 27.359375 1729535016.9570
MEM 27.359375 1729535017.0622
MEM 27.359375 1729535017.1666
MEM 27.359375 1729535017.2703
MEM 27.375000 1729535017.3709
MEM 27.375000 1729535017.4724
MEM 27.375000 1729535017.5738
MEM 27.375000 1729535017.6789
MEM 27.390625 1729535017.7841
MEM 27.390625 1729535017.8850
MEM 27.390625 1729535017.9901
MEM 27.390625 1729535018.0911
MEM 27.390625 1729535018.1963
MEM 27.390625 1729535018.2976
MEM 27.390625 1729535018.4028
MEM 27.390625 1729535018.5079
MEM 27.390625 1729535018.6125
MEM 27.390625 1729535018.7127
MEM 27.406250 1729535018.8151
MEM 27.406250 1729535018.9185
MEM 27.421875 1729535019.0236
MEM 27.484375 1729535019.1288
MEM 27.484375 1729535019.2339
MEM 27.484375 1729535019.3376
MEM 27.484375 1729535019.4426
