CMDLINE python3 thread/client.py
MEM 0.203125 1729535345.5191
MEM 32.421875 1729535345.6243
MEM 38.156250 1729535345.7295
MEM 38.359375 1729535345.8347
MEM 38.421875 1729535345.9386
MEM 38.437500 1729535346.0437
MEM 38.453125 1729535346.1446
MEM 38.453125 1729535346.2497
MEM 38.640625 1729535346.3549
MEM 38.640625 1729535346.4552
MEM 38.640625 1729535346.5603
MEM 38.640625 1729535346.6651
MEM 38.640625 1729535346.7691
MEM 38.640625 1729535346.8693
MEM 38.671875 1729535346.9744
MEM 38.671875 1729535347.0778
MEM 38.671875 1729535347.1829
MEM 38.671875 1729535347.2880
MEM 38.671875 1729535347.3932
MEM 38.687500 1729535347.4983
MEM 38.687500 1729535347.6034
MEM 38.687500 1729535347.7069
MEM 38.687500 1729535347.8097
MEM 38.687500 1729535347.9102
MEM 38.687500 1729535348.0145
MEM 38.796875 1729535348.1182
MEM 38.796875 1729535348.2233
MEM 38.796875 1729535348.3284
MEM 38.796875 1729535348.4336
MEM 38.796875 1729535348.5362
MEM 38.796875 1729535348.6408
MEM 39.281250 1729535348.7461
MEM 39.375000 1729535348.8480
MEM 39.375000 1729535348.9531
MEM 39.375000 1729535349.0582
MEM 39.375000 1729535349.1619
MEM 39.375000 1729535349.2670
MEM 39.390625 1729535349.3709
MEM 39.390625 1729535349.4740
MEM 39.390625 1729535349.5792
MEM 39.390625 1729535349.6842
MEM 39.390625 1729535349.7894
MEM 39.390625 1729535349.8922
MEM 39.390625 1729535349.9974
MEM 39.390625 1729535350.0989
MEM 39.390625 1729535350.2040
MEM 39.390625 1729535350.3073
MEM 39.390625 1729535350.4124
MEM 39.390625 1729535350.5171
MEM 39.390625 1729535350.6222
MEM 39.390625 1729535350.7274
MEM 35.421875 1729535350.8283
MEM 35.421875 1729535350.9335
MEM 35.421875 1729535351.0386
MEM 35.421875 1729535351.1413
MEM 35.421875 1729535351.2464
MEM 35.421875 1729535351.3515
MEM 35.421875 1729535351.4546
MEM 35.421875 1729535351.5586
MEM 35.421875 1729535351.6637
MEM 35.421875 1729535351.7688
MEM 35.421875 1729535351.8740
MEM 35.421875 1729535351.9751
MEM 35.421875 1729535352.0795
MEM 35.421875 1729535352.1808
MEM 35.421875 1729535352.2844
MEM 35.421875 1729535352.3867
MEM 35.421875 1729535352.4918
MEM 35.421875 1729535352.5969
MEM 35.421875 1729535352.7020
MEM 35.421875 1729535352.8070
MEM 33.109375 1729535352.9117
MEM 33.109375 1729535353.0168
